Poke,Vice,Hex,Rev
0,@,00,N
1,a,01,N
2,b,02,N
3,c,03,N
4,d,04,N
5,e,05,N
6,f,06,N
7,g,07,N
8,h,08,N
9,i,09,N
10,j,0A,N
11,k,0B,N
12,l,0C,N
13,m,0D,N
14,n,0E,N
15,o,0F,N
16,p,10,N
17,q,11,N
18,r,12,N
19,s,13,N
20,t,14,N
21,u,15,N
22,v,16,N
23,w,17,N
24,x,18,N
25,y,19,N
26,z,1A,N
27,[,1B,N
28,\,1C,N
29,],1D,N
30,^,1E,N
31,_,1F,N
32, ,20,N
33,!,21,N
34,"""",22,N
35,#,23,N
36,$,24,N
37,%,25,N
38,&,26,N
39,',27,N
40,(,28,N
41,),29,N
42,*,2A,N
43,+,2B,N
44,",",2C,N
45,-,2D,N
46,.,2E,N
47,/,2F,N
48,0,30,N
49,1,31,N
50,2,32,N
51,3,33,N
52,4,34,N
53,5,35,N
54,6,36,N
55,7,37,N
56,8,38,N
57,9,39,N
58,:,3A,N
59,;,3B,N
60,<,3C,N
61,=,3D,N
62,>,3E,N
63,?,3F,N
64,{SHIFT-*},40,N
65,A,41,N
66,B,42,N
67,C,43,N
68,D,44,N
69,E,45,N
70,F,46,N
71,G,47,N
72,H,48,N
73,I,49,N
74,J,4A,N
75,K,4B,N
76,L,4C,N
77,M,4D,N
78,N,4E,N
79,O,4F,N
80,P,50,N
81,Q,51,N
82,R,52,N
83,S,53,N
84,T,54,N
85,U,55,N
86,V,56,N
87,W,57,N
88,X,58,N
89,Y,59,N
90,Z,5A,N
91,{SHIFT-+},5B,N
92,{CBM--},5C,N
93,{SHIFT--},5D,N
94,{$de},5E,N
95,{CBM-*},5F,N
32,{$a0},60,N
97,{CBM-K},61,N
98,{CBM-I},62,N
99,{CBM-T},63,N
100,{CBM-@},64,N
101,{CBM-G},65,N
102,{CBM-+},66,N
103,{CBM-M},67,N
104,{CBM-POUND},68,N
105,{SHIFT-POUND},69,N
106,{CBM-N},6A,N
107,{CBM-Q},6B,N
108,{CBM-D},6C,N
109,{CBM-Z},6D,N
110,{CBM-S},6E,N
111,{CBM-P},6F,N
112,{CBM-A},70,N
113,{CBM-E},71,N
114,{CBM-R},72,N
115,{CBM-W},73,N
116,{CBM-H},74,N
117,{CBM-J},75,N
118,{CBM-L},76,N
119,{CBM-Y},77,N
120,{CBM-U},78,N
121,{CBM-O},79,N
122,{SHIFT-@},7A,N
123,{CBM-F},7B,N
124,{CBM-C},7C,N
125,{CBM-X},7D,N
126,{CBM-V},7E,N
127,{CBM-B},7F,N
,,80,N
,,81,N
,,82,N
,,83,N
,,84,N
,,85,N
,,86,N
,,87,N
,,88,N
,,89,N
,,8A,N
,,8B,N
,,8C,N
,,8D,N
,,8E,N
,,8F,N
,,90,N
,,91,N
,,92,N
,,93,N
,,94,N
,,95,N
,,96,N
,,97,N
,,98,N
,,99,N
,,9A,N
,,9B,N
,,9C,N
,,9D,N
,,9E,N
,,9F,N
,,A0,N
,,A1,N
,,A2,N
,,A3,N
,,A4,N
,,A5,N
,,A6,N
,,A7,N
,,A8,N
,,A9,N
,,AA,N
,,AB,N
,,AC,N
,,AD,N
,,AE,N
,,AF,N
,,B0,N
,,B1,N
,,B2,N
,,B3,N
,,B4,N
,,B5,N
,,B6,N
,,B7,N
,,B8,N
,,B9,N
,,BA,N
,,BB,N
,,BC,N
,,BD,N
,,BE,N
,,BF,N
,,C0,N
,,C1,N
,,C2,N
,,C3,N
,,C4,N
,,C5,N
,,C6,N
,,C7,N
,,C8,N
,,C9,N
,,CA,N
,,CB,N
,,CC,N
,,CD,N
,,CE,N
,,CF,N
,,D0,N
,,D1,N
,,D2,N
,,D3,N
,,D4,N
,,D5,N
,,D6,N
,,D7,N
,,D8,N
,,D9,N
,,DA,N
,,DB,N
,,DC,N
,,DD,N
,,DE,N
,,DF,N
,,E0,N
,,E1,N
,,E2,N
,,E3,N
,,E4,N
,,E5,N
,,E6,N
,,E7,N
,,E8,N
,,E9,N
,,EA,N
,,EB,N
,,EC,N
,,ED,N
,,EE,N
,,EF,N
,,F0,N
,,F1,N
,,F2,N
,,F3,N
,,F4,N
,,F5,N
,,F6,N
,,F7,N
,,F8,N
,,F9,N
,,FA,N
,,FB,N
,,FC,N
,,FD,N
,,FE,N
,,FF,N
128,{null},0,R
129,{CTRL-A},1,R
130,{CTRL-B},2,R
131,{stop},3,R
132,{CTRL-D},4,R
133,{wht},5,R
134,{CTRL-F},6,R
135,{CTRL-G},7,R
136,{dish},8,R
137,{ensh},9,R
138,{$0a},0A,R
139,{CTRL-K},0B,R
140,{\f},0C,R
141,{\n},0D,R
142,{swlc},0E,R
143,{CTRL-O},0F,R
144,{CTRL-P},10,R
145,{down},11,R
146,{rvon},12,R
147,{home},13,R
148,{del},14,R
149,{CTRL-U},15,R
150,{CTRL-V},16,R
151,{CTRL-W},17,R
152,{CTRL-X},18,R
153,{CTRL-Y},19,R
154,{CTRL-Z},1A,R
155,{esc},1B,R
156,{red},1C,R
157,{rght},1D,R
158,{grn},1E,R
159,{blu},1F,R
,,20,R
,,21,R
,,22,R
,,23,R
,,24,R
,,25,R
,,26,R
,,27,R
,,28,R
,,29,R
,,2A,R
,,2B,R
,,2C,R
,,2D,R
,,2E,R
,,2F,R
,,30,R
,,31,R
,,32,R
,,33,R
,,34,R
,,35,R
,,36,R
,,37,R
,,38,R
,,39,R
,,3A,R
,,3B,R
,,3C,R
,,3D,R
,,3E,R
,,3F,R
195,{$80},40,R
193,{orng},41,R
194,{$82},42,R
195,{$83},43,R
196,{$84},44,R
197,{f1},45,R
198,{f3},46,R
